Label,Code
Oak,Oak
Hackberry,Hackberry
Maple,Maple
Buckeye,Buckeye
Pine,Pine
Boxelder,Boxelder
Birch,Birch
Ironwood,Ironwood
Cedar,Cedar
Hornbeam,Hornbeam
Spruce,Spruce
Serviceberry,Serviceberry
Fir,Fir
Pawpaw,Pawpaw
Ash,Ash
Catalpa,Catalpa
Elm,Elm
Sassafras,Sassafras
Willow,Willow
Tupelo (Black Gum),Tupelo (Black Gum)
Poplar,Poplar
Sweetgum,Sweetgum
Aspen,Aspen
Black Locust,Black Locust
Hickory,Hickory
Honeylocust,Honeylocust
Walnut,Walnut
Osage Orange,Osage Orange
Cherry,Cherry
Tamarack (Larch),Tamarack (Larch)
Apple,Apple
Blue Spruce,Blue Spruce
Peach,Peach
White Pine,White Pine
Pear,Pear
Bald Cypress,Bald Cypress
Beech,Beech
Eastern Redcedar,Eastern Redcedar
Sycamore,Sycamore
Kentucky Coffeetree,Kentucky Coffeetree
Cottonwood,Cottonwood
Redbud,Redbud
Dogwood,Dogwood
Magnolia,Magnolia
Linden (Basswood),Linden (Basswood)
Locust,Locust
Hemlock,Hemlock
Chestnut,Chestnut
Juniper,Juniper
Alder,Alder